orderID;orderDate;articleID;colorCode;sizeCode;productGroup;quantity;price;rrp;voucherID;voucherAmount;customerID;deviceID;paymentMethod;returnQuantity
a1441064;2015-02-07;i1003517;7092;24;2;2;139.98;69.99;0;0;c1233412;1;BPRG;1
a1201760;2014-06-29;i1000353;1995;38;3;1;30;39.99;0;0;c1160474;4;KKE;0
a1095675;2014-04-07;i1000372;1000;40;3;1;9.99;9.99;0;0;c1040034;2;PAYPALVC;0
a1158657;2014-05-29;i1001397;1854;34;5;1;59.99;59.99;0;0;c1010422;3;CBA;0
a1208532;2014-07-03;i1001237;1003;44;4;1;35;69.99;0;0;c1131578;2;NN;0
a1261254;2014-08-20;i1000880;3001;42;3;1;20;29.99;0;0;c1021894;3;VORAUS;0
a3468747;2014-05-27;i1000783;1003;36;3;15;389.85;25.99;0;0;c1144866;5;RG;0
a1423146;2015-01-22;i1002197;7074;36;9;1;40;59.99;0;0;c1228554;5;BPPL;1
a1183774;2014-06-17;i1001798;3007;44;8;1;39.99;39.99;0;0;c1155187;2;BPLS;0
a1642599;2015-07-09;i1001546;1077;38;6;1;25;49.99;v1000714;80.98;c1288695;3;KGRG;0
